cluster,short histo,0
0,LMS,58
0,UPS,3
1,DDLPS,31
1,LMS,6
1,MFS,10
1,MPNST,2
1,UPS,13
2,SS,4
3,DDLPS,3
3,LMS,7
3,MFS,6
3,UPS,20
4,DDLPS,5
4,LMS,2
4,MFS,1
4,SS,1
4,UPS,7
5,DDLPS,11
5,LMS,7
5,MPNST,3
5,SS,5
5,UPS,1
