2,2,2,2,2,2,2,2,2,2,2,2,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
2,2,2,2,2,2,2,2,2,2,2,3,-1,2
4,4,4,4,4,4,4,4,4,4,4,4,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
2,2,2,2,2,2,2,2,2,2,2,4,-2,2
4,4,4,4,4,4,4,4,4,4,4,4,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
2,2,2,2,2,2,2,2,2,2,2,4,-2,2
4,4,4,4,4,4,4,4,4,4,4,4,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
2,2,2,2,3,3,2,2,2,2,2,2,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
2,2,2,2,2,2,2,2,2,2,2,4,-2,2
4,4,4,4,4,4,4,4,4,4,4,4,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
2,3,2,3,2,2,2,2,3,3,2,4,-2,3-Feb
2,2,2,2,2,2,2,2,2,2,2,4,-2,2
4,4,4,4,4,4,4,4,4,4,4,4,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
3,3,3,3,3,3,3,3,3,3,3,2,1,
4,4,4,4,4,4,4,4,4,4,4,4,0,
3,4,3,3,3,4,4,3,3,4,3,2,1,4-Mar
3,3,3,3,3,3,3,3,3,3,3,3,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
3,3,3,3,3,3,3,3,3,3,3,2,1,a
2,2,2,2,2,2,2,2,2,2,2,2,0,
4,2,2,4,4,4,2,4,2,2,4,4,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
2,2,2,2,2,2,2,2,2,2,2,3,-1,a
3,3,3,3,3,3,3,3,3,3,3,3,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
4,4,4,4,4,4,4,4,4,4,4,4,0,
3,2,3,2,3,3,3,2,3,3,3,3,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
4,4,2,4,4,4,4,4,4,2,4,4,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
4,4,4,3,3,4,4,3,4,4,4,4,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
2,2,2,2,2,2,2,2,2,2,2,2,0,
3,3,3,3,3,3,3,3,3,3,3,3,0,
